distance,elevation,terrain,dangerous,risk
49,200,dirt,0,60
19,1250,rocky,0,65
54,0,rocky,0,94
171,500,sand,1,253
162,650,dirt,1,225
77,1850,sand,0,116
16,1550,rocky,1,113
88,0,sand,1,168
129,1850,paved,1,188
183,900,rocky,0,227
30,1300,rocky,0,76
31,1450,dirt,0,48
97,1700,paved,0,105
134,1750,sand,1,222
22,1300,paved,1,78
123,700,rocky,0,166
114,1450,rocky,1,211
77,1750,dirt,1,145
43,700,rocky,1,136
147,1450,rocky,1,244
192,1750,rocky,0,240
129,1700,sand,1,217
78,550,dirt,0,90
96,1900,dirt,0,115
139,1800,paved,0,148
43,1300,sand,0,79
197,600,paved,0,200
120,1000,paved,0,125
10,50,dirt,1,70
117,1100,paved,1,172
162,1100,sand,0,197
40,800,paved,0,44
168,750,paved,1,221
199,900,sand,1,283
142,1350,sand,1,228
110,150,paved,1,160
171,1150,rocky,1,266
121,1100,paved,0,126
149,600,sand,1,232
51,0,rocky,0,91
196,500,dirt,1,258
93,1250,paved,1,149
64,600,paved,1,117
14,1750,sand,1,102
22,1950,paved,0,31
166,550,dirt,1,228
104,1750,dirt,1,172
180,700,rocky,1,273
49,700,sand,1,132
183,400,dirt,0,195
187,1650,dirt,0,205
21,1250,paved,0,27
177,1800,sand,1,266
126,1850,dirt,1,195
63,1200,rocky,1,159
131,300,rocky,0,172
64,150,paved,0,64
70,750,sand,1,153
194,900,sand,0,228
90,1800,dirt,0,109
4,1400,paved,1,61
158,1950,paved,0,167
153,400,rocky,0,195
122,1450,paved,0,129
21,1050,sand,0,56
164,150,rocky,0,204
169,150,paved,1,219
136,1300,sand,1,222
75,1850,dirt,1,144
186,1050,sand,0,221
67,900,sand,0,101
65,2000,rocky,1,165
119,1350,rocky,0,165
71,350,dirt,0,82
1,1400,sand,1,88
69,500,sand,0,101
175,2000,dirt,0,195
14,1850,dirt,0,33
16,1800,sand,1,105
119,1150,sand,1,204
19,600,sand,0,52
166,200,dirt,1,227
139,750,sand,1,222
13,1600,rocky,1,111
120,1900,paved,1,179
86,1500,rocky,1,183
138,1550,paved,1,195
65,1850,rocky,0,114
59,1200,rocky,1,155
175,850,paved,1,229
29,250,paved,1,80
112,750,dirt,0,125
197,0,sand,0,227
88,1800,dirt,0,107
43,1000,paved,1,98
122,600,rocky,0,165
153,1500,dirt,0,170
143,900,dirt,0,157
39,1550,sand,1,126
13,1200,dirt,0,29
97,0,rocky,1,187
105,1900,paved,0,114
150,500,sand,1,232
50,1850,rocky,1,149
61,1050,dirt,1,126
148,1850,paved,0,157
38,0,dirt,0,48
70,750,paved,1,123
106,150,rocky,1,196
179,0,dirt,0,189
158,1800,dirt,1,227
8,900,dirt,1,72
99,250,dirt,1,160
20,950,dirt,1,84
199,1500,sand,0,236
123,900,paved,1,177
18,250,sand,1,99
10,350,dirt,0,21
12,700,rocky,0,55
20,950,paved,1,74
95,1050,sand,1,180
66,1200,paved,0,72
120,700,paved,1,173
139,1100,sand,0,174
13,1000,rocky,1,108
83,500,dirt,1,145
127,300,sand,0,158
81,150,sand,0,111
132,900,paved,1,186
14,400,paved,1,66
59,1100,paved,1,114
140,1200,rocky,1,236
82,0,dirt,1,142
49,1100,sand,1,134
107,300,rocky,0,148
58,1200,sand,1,144
64,1850,rocky,0,113
17,700,rocky,0,60
41,150,paved,1,91
96,300,dirt,0,107
165,200,paved,1,216
61,200,rocky,1,152
67,350,paved,0,68
51,1800,paved,1,110
166,800,paved,1,220
155,350,sand,0,186
62,1400,dirt,1,129
169,1000,sand,0,204
111,150,rocky,0,151
112,800,dirt,1,176
37,1800,sand,1,126
53,1550,rocky,0,100
67,150,dirt,1,127
139,300,dirt,0,150
71,700,paved,0,74
15,1300,rocky,0,61
197,300,dirt,1,258
79,150,dirt,1,139
81,900,rocky,1,175
6,1900,dirt,0,25
171,650,paved,0,174
158,450,sand,1,240
65,1650,sand,0,103
174,1700,dirt,0,192
102,800,rocky,1,196
147,1250,rocky,1,243
107,1000,dirt,1,172
138,1250,paved,0,144
194,1550,rocky,0,241
10,1400,dirt,0,27
122,1850,dirt,0,141
62,300,dirt,0,73
156,1150,dirt,0,171
133,1450,dirt,0,150
182,1450,paved,0,189
127,300,paved,0,128
167,500,dirt,0,179
20,1450,paved,0,27
25,200,paved,0,26
123,1400,paved,0,130
192,300,dirt,0,203
164,1800,sand,0,203
136,850,sand,0,170
129,1700,dirt,1,197
52,1700,rocky,1,150
150,1700,sand,1,238
197,0,sand,0,227
67,1650,sand,0,105
157,1300,rocky,1,253
111,200,sand,0,142
198,1100,dirt,0,213
17,1200,sand,0,53
62,100,sand,1,142
197,1350,rocky,0,243
187,800,sand,1,271
64,0,sand,0,94
78,750,paved,0,81
45,600,paved,0,48
68,800,rocky,0,112
90,250,rocky,1,181
27,1250,rocky,1,123
196,1300,paved,1,252
86,0,paved,1,136
139,1800,paved,1,198
31,1550,dirt,1,98
20,800,paved,0,24
180,850,sand,1,264
155,1700,dirt,0,173
111,1350,sand,0,147
98,200,rocky,0,139
31,1450,rocky,1,128
86,450,paved,0,88
136,1500,sand,1,223
189,800,dirt,0,203
101,950,paved,1,155
147,1450,sand,1,234
4,1800,sand,0,43
130,850,dirt,0,144
130,1950,dirt,0,149
51,250,rocky,1,142
83,1400,sand,0,120
94,500,paved,0,96
134,1800,sand,0,173
94,1900,sand,1,183
35,1450,paved,1,92
186,800,rocky,1,280
17,250,sand,1,98
114,1100,rocky,0,159
96,1950,dirt,0,115
56,1200,paved,0,62
13,650,sand,1,96
105,0,rocky,1,195
3,200,sand,1,84
8,700,rocky,1,101
48,1650,paved,0,56
88,1300,rocky,1,184
47,1650,paved,0,55
28,100,dirt,0,38
193,150,rocky,1,283
147,850,rocky,1,241
147,200,dirt,1,208
124,1400,rocky,1,221
100,1950,rocky,0,149
119,850,dirt,0,133
35,50,sand,0,65
11,0,dirt,0,21
164,1250,paved,1,220
45,1900,paved,1,104
9,300,paved,0,10
63,1200,sand,0,99
189,1700,rocky,0,237
53,1500,rocky,1,150
119,1600,rocky,1,217
127,1950,sand,1,216
141,1100,paved,0,146
36,900,dirt,0,50
80,1000,paved,1,135
36,1450,rocky,0,83
107,1550,dirt,0,124
140,150,dirt,0,150
108,1250,rocky,1,204
40,1400,sand,1,127
105,1850,paved,1,164
172,100,rocky,0,212
169,250,paved,1,220
111,1750,paved,0,119
101,50,rocky,0,141
113,450,sand,1,195
154,350,rocky,0,195
166,1250,sand,1,252
135,1450,rocky,0,182
64,1650,paved,1,122
198,400,dirt,1,260
115,550,sand,1,197
126,850,rocky,1,220
43,850,paved,1,97
83,200,sand,1,164
29,1400,paved,0,36
89,700,paved,1,142
28,1000,dirt,1,93
33,1750,sand,0,71
50,1100,sand,1,135
53,950,paved,1,107
147,1650,dirt,1,215
186,50,paved,0,186
195,1050,sand,0,230
24,1600,paved,1,82
102,50,paved,0,102
22,300,sand,1,103
121,1700,paved,1,179
107,1250,paved,0,113
34,1850,dirt,0,53
146,400,rocky,0,188
127,1000,sand,0,162
148,1900,rocky,0,197
94,1000,paved,0,99
31,1800,sand,1,120
4,1550,dirt,0,21
110,1900,sand,0,149
99,1900,dirt,1,168
118,150,rocky,1,208
150,800,sand,0,184
134,900,rocky,1,228
199,1500,rocky,1,296
196,1350,paved,0,202
70,550,dirt,1,132
32,1300,rocky,1,128
174,1100,rocky,0,219
80,350,rocky,0,121
75,1950,dirt,1,144
52,1100,dirt,0,67
4,850,paved,0,8
117,1000,sand,1,202
98,300,paved,1,149
70,1450,sand,1,157
69,1300,paved,1,125
92,1450,paved,0,99
80,800,rocky,0,124
196,900,sand,0,230
178,1750,rocky,0,226
97,1050,rocky,1,192
93,350,paved,1,144
178,1400,rocky,0,225
42,500,dirt,1,104
37,1850,sand,1,126
57,1100,paved,0,62
143,100,rocky,0,183
69,2000,rocky,1,169
24,550,dirt,1,86
116,800,sand,0,150
148,1150,sand,0,183
148,450,rocky,1,240
79,1850,paved,1,138
166,600,dirt,1,229
13,1400,paved,0,20
184,1100,sand,0,219
101,1500,dirt,1,168
72,1150,dirt,1,137
16,250,paved,1,67
44,2000,sand,1,134
12,250,rocky,1,103
147,1300,sand,0,183
187,1700,dirt,1,255
84,700,sand,1,167
25,2000,dirt,1,95
153,1800,sand,1,242
112,850,paved,1,166
73,1250,sand,0,109
150,1200,sand,0,186
183,150,dirt,0,193
84,1800,sand,1,173
93,1400,paved,0,100
31,1850,sand,0,70
168,1750,paved,0,176
48,1650,sand,1,136
149,900,rocky,1,243
27,1450,dirt,1,94
26,1100,sand,1,111
68,1000,dirt,0,83
112,1850,dirt,0,131
27,1000,rocky,1,122
6,1550,sand,1,93
137,1100,sand,1,222
55,1300,paved,0,61
172,650,paved,0,175
39,1450,paved,0,46
149,900,rocky,1,243
45,1750,paved,0,53
2,700,dirt,0,15
150,2000,rocky,1,250
184,1600,paved,0,192
66,1900,dirt,0,85
93,500,dirt,1,155
197,1300,paved,0,203
13,950,sand,0,47
19,1600,sand,1,107
119,700,sand,1,202
134,1450,paved,0,141
67,100,paved,0,67
180,150,sand,1,260
142,1550,dirt,0,159
104,450,dirt,1,166
105,1850,paved,1,164
28,1450,rocky,0,75
43,1600,rocky,0,91
128,700,sand,1,211
196,850,dirt,1,260
93,1700,dirt,1,161
137,250,dirt,0,148
127,1950,paved,1,186
56,1800,rocky,0,105
24,1300,dirt,1,90
21,750,dirt,1,84
120,700,paved,1,173
45,550,paved,1,97
52,550,sand,0,84
47,1650,sand,1,135
129,350,dirt,0,140
155,650,dirt,0,168
131,800,dirt,1,195
107,1500,sand,0,144
127,1150,sand,0,162
1,1900,dirt,0,20
11,1750,dirt,1,79
126,900,rocky,0,170
31,1000,dirt,1,96
21,650,paved,1,74
184,0,paved,1,234
117,600,dirt,0,130
3,200,dirt,1,64
130,1700,sand,1,218
18,750,paved,0,21
3,300,rocky,1,94
196,1200,sand,1,282
147,1750,paved,0,155
54,350,rocky,1,145
147,150,sand,1,227
112,1400,dirt,0,129
55,1900,dirt,0,74
113,1050,sand,0,148
1,1300,rocky,1,97
176,800,dirt,0,190
136,0,sand,1,216
146,1450,paved,1,203
100,150,paved,1,150
102,500,paved,0,104
146,650,sand,0,179
111,300,sand,0,142
137,1550,sand,1,224
158,600,paved,1,211
117,1400,dirt,1,184
72,1900,rocky,1,171
100,500,sand,1,182
168,300,paved,0,169
129,650,dirt,0,142
43,500,paved,1,95
84,1300,sand,1,170
148,1500,rocky,0,195
188,1150,dirt,0,203
114,1600,rocky,1,212
189,1350,sand,0,225
70,1600,paved,0,78
43,850,paved,1,97
36,200,paved,1,87
51,600,sand,0,84
140,1250,dirt,1,206
167,1050,dirt,0,182
192,1350,rocky,0,238
185,1100,sand,1,270
46,550,rocky,1,138
146,1900,paved,1,205
39,850,sand,0,73
29,1950,rocky,1,128
71,1550,rocky,1,168
136,700,rocky,0,179
179,50,dirt,1,239
188,200,sand,1,269
155,300,dirt,0,166
50,550,rocky,0,92
81,550,sand,0,113
62,1050,rocky,1,157
62,1650,dirt,1,130
139,0,sand,0,169
94,0,rocky,0,134
180,200,sand,1,261
61,950,sand,0,95
11,1050,rocky,1,106
117,200,dirt,1,178
104,1500,sand,0,141
126,1600,dirt,1,194
2,450,dirt,0,14
67,1800,sand,0,106
177,1700,sand,1,265
10,0,paved,0,10
85,1350,dirt,0,101
15,150,dirt,0,25
106,1100,paved,1,161
134,1450,sand,1,221
29,400,sand,1,111
100,1900,rocky,0,149
191,550,paved,1,243
133,1500,dirt,0,150
194,1300,rocky,0,240
6,300,dirt,1,67
22,750,dirt,1,85
139,150,sand,1,219
169,100,rocky,1,259
50,0,sand,0,80
70,1600,rocky,1,168
128,700,rocky,0,171
21,600,dirt,1,84
43,1250,paved,0,49
20,1250,sand,0,56
68,450,sand,0,100
42,1600,dirt,1,110
195,1550,rocky,0,242
100,1050,paved,0,105
65,750,sand,1,148
188,450,dirt,0,200
136,300,rocky,1,227
151,1100,paved,1,206
175,200,rocky,0,216
96,1300,rocky,0,142
102,1650,paved,1,160
63,100,dirt,1,123
131,1900,paved,0,140
122,650,dirt,1,185
147,1150,sand,0,182
84,1600,paved,0,92
113,150,sand,1,193
94,1750,dirt,1,162
187,1050,paved,0,192
39,450,sand,0,71
129,1100,dirt,1,194
53,150,dirt,1,113
174,150,paved,1,224
30,1400,paved,0,37
178,1500,rocky,0,225
36,100,dirt,0,46
193,400,dirt,1,255
29,2000,rocky,1,129
67,1150,dirt,1,132
86,2000,paved,1,146
165,1750,sand,0,203
110,1950,dirt,0,129
188,1100,sand,0,223
110,1850,dirt,0,129
108,450,paved,0,110
11,1450,rocky,1,108
93,1150,sand,1,178
88,50,sand,1,168
110,1300,dirt,1,176
50,1900,paved,0,59
74,700,rocky,0,117
19,1750,rocky,1,117
145,1800,sand,1,234
2,400,paved,1,54
37,300,sand,0,68
172,550,dirt,0,184
57,250,paved,1,108
156,100,rocky,1,246
181,1550,rocky,1,278
73,1550,paved,0,80
137,1700,paved,0,145
75,50,paved,1,125
26,1900,dirt,0,45
195,650,paved,1,248
186,450,paved,1,238
165,950,sand,1,249
72,950,rocky,1,166
58,550,paved,1,110
67,1800,sand,0,106
26,1400,paved,0,33
60,1700,rocky,0,108
53,1000,paved,0,58
173,100,sand,0,203
137,2000,sand,0,177
196,1950,sand,1,285
37,1600,dirt,0,55
35,1000,sand,0,70
131,1850,paved,1,190
113,1550,dirt,1,180
140,300,dirt,0,151
17,1950,sand,1,106
170,650,sand,1,253
27,1350,paved,0,33
161,850,sand,1,245
79,1950,rocky,1,178
126,850,rocky,0,170
124,2000,dirt,1,194
183,700,rocky,1,276
161,950,rocky,0,205
111,1150,rocky,1,206
5,1550,rocky,0,52
188,1050,dirt,0,203
111,800,sand,1,195
43,1550,dirt,1,110
89,1000,paved,0,94
55,1550,dirt,1,122
7,1550,dirt,0,24
136,1100,dirt,0,151
51,400,paved,0,53
147,1450,paved,1,204
178,1750,dirt,1,246
121,1450,sand,1,208
153,950,paved,0,157
66,1400,rocky,0,113
149,1950,paved,1,208
37,1250,sand,0,73
168,1050,dirt,0,183
87,1000,paved,0,92
142,1300,sand,0,178
75,400,dirt,1,137
162,250,paved,0,163
155,1550,paved,1,212
88,900,rocky,0,132
117,1200,rocky,1,213
156,1800,rocky,0,205
155,600,dirt,0,168
60,1300,dirt,1,126
108,1850,dirt,1,177
157,550,sand,0,189
193,1150,sand,0,228
2,400,rocky,0,44
11,300,paved,0,12
200,250,rocky,1,291
93,1250,rocky,0,139
117,1700,dirt,0,135
50,100,paved,0,50
85,1300,rocky,0,131
124,1200,paved,0,130
31,900,sand,0,65
134,400,rocky,0,176
123,950,paved,1,177
79,1000,sand,0,114
85,250,dirt,1,146
82,1300,sand,1,168
148,900,sand,1,232
103,2000,paved,1,163
190,1450,rocky,0,237
29,450,paved,0,31
160,250,rocky,0,201
2,500,rocky,1,94
69,550,dirt,1,131
152,250,rocky,1,243
37,1950,paved,1,96
183,200,rocky,0,224
30,1300,paved,0,36
146,1000,rocky,0,191
171,1700,dirt,1,239
43,400,paved,0,45
111,1300,paved,0,117
4,700,dirt,1,67
54,250,dirt,0,65
33,150,sand,1,113
27,400,dirt,1,89
84,350,dirt,1,145
134,350,paved,1,185
33,1200,dirt,1,99
44,500,dirt,0,56
171,700,paved,1,224
86,650,sand,1,169
115,1600,sand,0,153
169,1000,paved,0,174
40,600,rocky,1,133
197,400,sand,0,229
183,600,rocky,0,226
146,1300,sand,1,232
23,1550,rocky,0,70
135,300,sand,0,166
195,1100,dirt,0,210
140,1750,paved,0,148
75,50,sand,1,155
200,1150,paved,0,205
98,1650,rocky,1,196
47,50,paved,0,47
192,1300,dirt,0,208
169,1700,rocky,1,267
161,500,sand,1,243
158,0,rocky,0,198
151,1500,sand,0,188
87,850,sand,1,171
24,1050,dirt,0,39
24,600,dirt,1,87
174,1000,sand,0,209
80,350,sand,0,111
191,700,sand,0,224
19,2000,dirt,0,39
128,1900,rocky,0,177
104,1000,rocky,0,149
79,200,dirt,0,90
64,300,rocky,1,155
66,700,sand,0,99
117,1700,dirt,1,185
139,600,sand,0,172
15,600,dirt,1,78
103,2000,sand,0,143
107,900,rocky,1,201
1,1950,sand,1,90
164,1950,sand,1,253
43,450,rocky,1,135
112,950,rocky,0,156
118,1800,paved,1,177
90,800,sand,1,174
175,200,rocky,1,266
11,500,sand,0,43
65,1650,paved,1,123
194,1600,sand,0,232
138,1150,rocky,0,183
150,1150,sand,1,235
32,1150,rocky,1,127
133,1700,rocky,1,231
73,1650,rocky,1,171
22,900,dirt,0,36
198,850,paved,0,202
167,2000,sand,1,257
124,1650,paved,0,132
88,850,sand,0,122
168,550,sand,1,250
21,850,paved,0,25
89,1700,dirt,1,157
96,700,sand,1,179
14,1900,dirt,1,83
198,100,rocky,1,288
15,1150,sand,0,50
186,600,dirt,1,249
108,250,sand,1,189
9,1900,rocky,0,58
150,1900,rocky,0,199
151,600,paved,0,154
119,1900,sand,1,208
27,1500,sand,0,64
57,1500,rocky,0,104
153,1800,rocky,1,252
66,1500,paved,0,73
74,900,sand,1,158
121,1850,paved,1,180
158,400,sand,1,240
178,500,rocky,0,220
25,150,sand,1,105
130,1100,paved,1,185
158,150,sand,1,238
76,1500,dirt,0,93
9,1400,rocky,1,106
153,1050,paved,0,158
25,1400,rocky,0,72
153,1650,dirt,1,221
155,1900,sand,0,194
166,750,paved,0,169
40,700,rocky,1,133
157,1300,sand,1,243
3,1150,sand,0,38
41,1700,rocky,0,89
32,250,paved,1,83
27,1000,sand,1,112
127,400,paved,1,179
48,450,dirt,1,110
13,1250,dirt,0,29
49,1650,rocky,0,97
31,1400,dirt,1,98
105,1700,sand,0,143
71,1900,paved,0,80
10,1800,paved,0,19
116,950,paved,1,170
145,850,sand,1,229
185,100,rocky,0,225
153,50,rocky,1,243
148,1650,sand,1,236
116,1650,rocky,1,214
97,1000,sand,1,182
45,700,rocky,0,88
135,1300,dirt,1,201
15,150,rocky,0,55
1,1200,paved,0,7
180,750,dirt,0,193
168,250,rocky,1,259
108,1200,sand,0,144
126,600,rocky,1,219
19,500,paved,0,21
166,1300,sand,1,252
188,1350,sand,1,274
67,650,dirt,1,130
123,400,rocky,1,215
104,0,rocky,1,194
199,50,sand,1,279
66,1000,sand,1,151
192,1700,sand,1,280
112,0,rocky,1,202
19,600,sand,0,52
43,1550,paved,1,100
25,1450,paved,0,32
200,950,paved,0,204
38,1100,sand,1,123
11,300,rocky,1,102
161,200,dirt,1,222
153,1950,rocky,0,202
92,850,paved,0,96
72,1350,dirt,0,88
132,1550,paved,0,139
135,300,sand,0,166
69,700,dirt,1,132
134,1650,paved,1,192
17,1150,rocky,1,112
130,1450,dirt,1,197
16,1600,sand,1,104
158,900,sand,0,192
81,1850,dirt,0,100
107,1200,dirt,1,173
42,2000,dirt,0,62
180,1100,paved,1,235
72,1450,dirt,0,89
38,250,paved,0,39
172,1000,rocky,1,267
60,1700,sand,1,148
125,1550,sand,1,212
100,2000,dirt,1,170
129,400,dirt,1,191
111,850,paved,1,165
20,1350,paved,0,26
10,450,sand,0,42
12,350,sand,1,93
63,450,sand,1,145
101,1050,dirt,0,116
8,650,sand,1,91
109,1200,sand,0,145
94,1200,paved,1,150
73,1150,sand,1,158
17,1250,dirt,0,33
11,1500,sand,0,48
100,650,rocky,1,193
32,800,rocky,1,126
61,1800,sand,0,100
69,1950,sand,1,158
66,1550,rocky,0,113
12,1700,sand,1,100
41,1600,sand,1,129
151,1800,sand,1,240
158,1850,sand,0,197
183,1450,sand,1,270
54,100,paved,0,54
60,1400,sand,0,97
93,1300,paved,0,99
32,1600,sand,0,70
26,450,sand,0,58
51,1750,dirt,1,119
110,1450,rocky,0,157
103,1700,sand,0,141
62,1800,paved,1,121
90,1850,sand,0,129
74,1450,rocky,0,121
195,250,paved,1,246
160,500,dirt,0,172
48,1500,rocky,1,145
123,50,rocky,1,213
64,700,rocky,1,157
187,650,dirt,0,200
26,700,sand,0,59
141,700,sand,1,224
45,850,sand,0,79
37,950,rocky,1,131
7,950,rocky,0,51
163,850,dirt,1,227
169,1700,sand,0,207
107,1050,paved,1,162
90,100,dirt,0,100
97,1300,rocky,0,143
155,450,sand,0,187
196,550,sand,1,278
70,1800,rocky,1,169
16,600,dirt,0,29
93,800,sand,1,177
3,1550,rocky,0,50
153,300,paved,0,154
150,200,paved,1,201
199,2000,sand,0,239
185,1850,dirt,0,204
2,600,rocky,0,45
109,1850,sand,0,148
109,700,dirt,1,172
1,1550,sand,0,38
31,300,paved,0,32
70,850,rocky,1,164
6,100,paved,1,56
156,1300,paved,1,212
2,900,dirt,0,16
132,1950,dirt,1,201
38,550,rocky,0,80
32,1150,paved,0,37
37,800,rocky,0,81
183,1550,dirt,1,250
15,900,paved,1,69
130,250,paved,0,131
134,1600,rocky,0,182
64,1100,paved,1,119
22,450,paved,0,24
46,300,dirt,0,57
65,800,dirt,1,129
197,400,paved,1,249
32,1550,dirt,1,99
193,2000,paved,1,253
109,400,rocky,1,201
130,2000,dirt,0,150
90,1800,paved,1,149
8,950,sand,1,92
50,400,sand,1,132
113,0,paved,1,163
14,350,dirt,1,75
14,50,sand,1,94
5,200,rocky,1,96
137,1250,dirt,1,203
166,750,paved,0,169
147,1400,sand,0,184
89,300,sand,1,170
169,650,dirt,1,232
45,250,paved,0,46
190,1900,paved,0,199
194,350,sand,0,225
160,1100,rocky,0,205
124,1000,rocky,1,219
59,1050,dirt,1,124
145,150,dirt,1,205
140,400,rocky,0,182
155,150,rocky,0,195
70,1100,rocky,0,115
9,800,paved,0,13
6,850,sand,1,90
82,1300,sand,0,118
104,1000,paved,1,159
123,500,dirt,1,185
192,1400,rocky,0,239
194,300,dirt,0,205
85,750,rocky,0,128
48,1000,rocky,1,143
191,100,rocky,1,281
116,0,sand,1,196
144,1850,sand,0,183
125,850,rocky,1,219
75,1300,rocky,1,171
119,1700,dirt,1,187
183,1100,dirt,0,198
158,650,sand,0,191
161,50,sand,1,241
83,1150,rocky,0,128
133,900,rocky,1,227
76,900,rocky,0,120
181,750,rocky,0,224
18,1550,sand,1,105
55,1650,sand,0,93
84,1700,dirt,1,152
185,1650,rocky,0,233
80,450,sand,1,162
89,2000,dirt,0,109
115,1200,sand,1,201
141,1750,rocky,1,239
158,1250,sand,1,244
93,1050,dirt,1,158
133,1750,sand,1,221
76,950,paved,1,130
119,1050,rocky,1,214
188,850,paved,1,242
90,300,paved,0,91
94,300,paved,1,145
73,1700,sand,0,111
64,1200,rocky,1,160
76,1150,rocky,0,121
81,1950,sand,1,170
7,1850,rocky,0,56
43,1100,dirt,1,108
161,1500,paved,0,168
97,1850,dirt,0,116
128,1100,dirt,0,143
152,1950,paved,0,161
11,200,sand,1,92
111,0,rocky,1,201
133,1900,sand,0,172
113,700,paved,1,166
42,1050,dirt,1,107
3,450,paved,0,5
95,550,paved,0,97
95,800,dirt,1,159
21,600,rocky,1,114
79,850,paved,1,133
4,850,dirt,0,18
72,1150,rocky,0,117
93,300,rocky,1,184
42,1900,rocky,0,91
53,700,rocky,0,96
159,1950,sand,0,198
16,750,sand,1,99
99,0,paved,1,149
139,800,dirt,1,203
12,1200,rocky,1,108
194,1850,dirt,0,213
53,300,dirt,0,64
179,450,dirt,0,191
67,350,paved,1,118
195,1800,sand,1,284
14,950,sand,1,98
89,1800,paved,1,148
80,600,paved,1,133
133,1550,dirt,0,150
35,1900,sand,0,74
182,1500,dirt,0,199
86,1600,paved,1,144
167,1550,dirt,1,234
61,850,dirt,0,75
62,100,dirt,1,122
31,1850,dirt,0,50
94,1650,dirt,0,112
15,1150,dirt,0,30
148,700,rocky,1,241
57,1100,rocky,1,152
118,1700,rocky,1,216
109,900,sand,0,143
11,400,sand,0,43
119,950,dirt,1,183
66,1650,dirt,0,84
187,1200,sand,0,223
41,1950,dirt,0,60
165,750,paved,0,168
136,50,rocky,1,226
16,1900,paved,0,25
191,1800,sand,0,230
153,2000,sand,1,243
148,1100,rocky,0,193
195,950,rocky,1,289
48,300,sand,0,79
183,200,dirt,1,244
112,300,dirt,1,173
134,150,sand,1,214
142,1500,dirt,1,209
24,1050,sand,1,109
8,1600,sand,1,96
120,400,dirt,1,182
79,700,sand,1,162
127,1500,paved,1,184
55,1600,rocky,0,103
120,650,paved,1,173
91,1900,rocky,0,140
188,800,dirt,1,252
