distance,elevation,terrain,dangerous,risk
131,1250,rocky,1,227
123,2000,dirt,1,193
5,200,dirt,1,66
30,1150,sand,1,115
139,950,dirt,0,153
129,400,rocky,0,171
115,1500,sand,1,202
33,0,dirt,1,93
160,200,rocky,1,251
4,850,paved,1,58
29,300,sand,1,110
24,1950,rocky,1,123
151,100,dirt,0,161
15,1950,paved,0,24
31,1750,sand,0,69
42,1700,dirt,0,60
56,250,sand,1,137
69,1950,dirt,1,138
148,750,paved,1,201
15,50,rocky,1,105
122,1350,rocky,0,168
48,650,paved,1,101
107,1100,sand,0,142
46,700,dirt,0,59
94,200,rocky,1,185
56,700,sand,0,89
177,1650,rocky,0,225
123,1950,paved,1,182
80,800,sand,0,114
34,2000,rocky,0,84
197,1200,rocky,0,243
34,700,rocky,0,77
76,1950,rocky,0,125
133,1050,paved,0,138
63,1550,paved,0,70
128,1100,rocky,1,223
142,1300,paved,1,198
37,1350,dirt,0,53
75,1200,rocky,0,121
52,1900,sand,1,141
153,1350,sand,0,189
84,450,sand,0,116
144,300,sand,1,225
68,300,sand,0,99
22,1300,rocky,0,68
123,1850,dirt,1,192
126,700,paved,1,179
16,1300,paved,0,22
173,100,rocky,0,213
76,1950,paved,1,135
197,100,paved,0,197
12,1850,sand,1,101
79,250,rocky,1,170
84,500,sand,0,116
84,1900,dirt,0,103
163,650,sand,1,246
138,1000,sand,0,173
169,1500,sand,0,206
38,750,dirt,0,51
67,1250,dirt,0,83
43,1750,paved,1,101
99,650,dirt,0,112
115,650,rocky,0,158
180,950,dirt,1,244
131,1400,sand,0,168
18,200,dirt,0,29
135,1450,rocky,0,182
154,500,rocky,1,246
139,350,dirt,0,150
63,950,dirt,1,127
79,800,sand,1,163
74,150,paved,0,74
161,1400,paved,0,168
20,1000,rocky,1,115
30,750,paved,0,33
8,600,dirt,0,21
113,50,dirt,1,173
45,1700,paved,0,53
36,200,paved,0,37
83,1800,paved,1,142
50,1250,paved,1,106
91,800,rocky,1,185
136,1650,rocky,1,234
23,550,rocky,1,115
35,1950,dirt,0,54
133,150,sand,0,163
57,1000,rocky,0,102
105,1850,rocky,0,154
177,100,dirt,1,237
140,1200,sand,0,176
56,600,sand,1,139
77,1650,paved,1,135
49,1700,dirt,0,67
23,650,rocky,0,66
14,1250,sand,0,50
39,300,paved,1,90
122,550,dirt,1,184
170,300,rocky,0,211
17,400,sand,1,99
127,1600,sand,1,215
150,750,rocky,1,243
104,1100,rocky,0,149
97,1950,paved,0,106
176,1900,sand,0,215
7,1300,rocky,0,53
196,1450,paved,0,203
117,1100,paved,1,172
174,100,sand,1,254
34,1800,dirt,1,103
176,950,rocky,0,220
126,1200,paved,1,182
31,900,sand,0,65
145,250,sand,0,176
57,900,paved,0,61
117,1150,rocky,1,212
174,1500,paved,1,231
145,250,paved,0,146
5,850,paved,1,59
80,550,rocky,1,172
5,1450,sand,0,42
58,1100,paved,0,63
113,1600,dirt,1,181
40,550,dirt,0,52
102,100,dirt,1,162
2,1450,dirt,0,19
109,700,sand,1,192
49,100,rocky,1,139
103,1600,rocky,1,201
114,1050,paved,0,119
121,1300,dirt,1,187
42,1700,dirt,1,110
106,1500,sand,1,193
182,1450,rocky,1,279
74,750,sand,0,107
68,50,paved,1,118
182,1200,dirt,1,248
198,1850,sand,1,287
5,500,rocky,0,47
57,450,paved,1,109
15,550,paved,0,17
120,1750,rocky,0,168
15,850,paved,1,69
190,650,sand,1,273
29,1050,sand,1,114
168,1200,sand,0,204
59,1400,sand,1,146
111,1350,sand,0,147
39,150,sand,1,119
97,200,sand,0,128
38,2000,paved,0,48
123,700,sand,0,156
198,650,sand,0,231
192,400,rocky,1,284
126,1100,paved,0,131
7,1150,dirt,0,22
55,1250,rocky,1,151
110,1900,sand,1,199
88,250,paved,0,89
143,1500,dirt,0,160
3,200,paved,0,4
72,600,rocky,1,165
183,1700,sand,1,271
143,1200,paved,1,199
119,750,paved,1,172
35,1900,paved,1,94
164,150,sand,1,244
198,50,rocky,1,288
150,0,sand,1,230
178,150,rocky,0,218
109,1250,paved,0,115
3,1750,rocky,1,101
45,1250,paved,0,51
74,1650,rocky,0,122
146,1500,sand,1,233
190,100,rocky,1,280
38,1000,dirt,1,103
101,1800,dirt,0,120
155,1850,rocky,1,254
101,1550,paved,1,158
41,2000,sand,1,131
71,350,sand,0,102
31,300,rocky,0,72
120,750,dirt,0,133
58,250,paved,0,59
187,100,paved,0,187
65,1300,dirt,1,131
30,150,rocky,0,70
41,1700,rocky,0,89
91,1900,rocky,0,140
84,1650,paved,0,92
4,1800,sand,0,43
116,250,paved,0,117
190,850,sand,1,274
118,1200,paved,0,124
79,400,paved,1,131
182,1400,paved,1,239
173,450,sand,0,205
96,800,dirt,1,160
159,450,dirt,0,171
59,1500,sand,0,96
105,1050,rocky,1,200
29,800,paved,1,83
184,1600,sand,0,222
54,700,dirt,1,117
89,800,paved,1,143
198,1600,dirt,1,266
196,1500,paved,1,253
26,700,paved,1,79
104,450,paved,1,156
133,650,dirt,0,146
70,1150,sand,1,155
192,800,dirt,0,206
57,800,rocky,0,101
88,50,dirt,0,98
67,700,paved,1,120
177,1150,sand,0,212
28,0,rocky,1,118
147,1050,rocky,1,242
151,800,rocky,1,245
198,1100,paved,1,253
58,1950,rocky,1,157
198,900,paved,0,202
153,1650,paved,0,161
160,700,rocky,1,253
109,1250,paved,0,115
102,450,dirt,1,164
172,1250,rocky,0,218
105,500,rocky,0,147
168,950,paved,1,222
76,400,sand,1,158
122,400,rocky,1,214
134,1000,dirt,1,199
11,950,sand,1,95
77,800,dirt,1,141
68,1050,dirt,1,133
100,1400,rocky,0,147
99,100,paved,0,99
82,150,sand,0,112
107,300,sand,0,138
3,1100,dirt,1,68
133,1350,dirt,0,149
9,1050,paved,1,64
7,500,sand,0,39
110,900,dirt,0,124
10,1550,rocky,0,57
98,900,rocky,0,142
59,1050,rocky,1,154
154,650,paved,1,207
163,1250,dirt,0,179
133,1550,paved,1,190
174,1250,dirt,1,240
200,0,sand,0,230
67,250,dirt,1,128
194,1400,rocky,1,291
26,950,paved,1,80
45,800,dirt,0,59
11,1250,paved,1,67
1,1200,sand,0,37
66,500,dirt,0,78
45,1800,rocky,0,94
57,1250,paved,0,63
136,1300,dirt,0,152
190,1250,rocky,0,236
41,700,paved,1,94
139,1700,sand,1,227
50,1600,sand,1,138
64,900,sand,0,98
183,2000,sand,1,273
149,850,dirt,0,163
138,50,paved,0,138
71,500,sand,0,103
42,100,dirt,1,102
68,800,dirt,1,132
97,100,paved,0,97
185,1550,rocky,1,282
94,1250,sand,0,130
74,850,sand,1,158
159,450,sand,0,191
100,150,paved,1,150
20,1550,dirt,1,87
79,100,sand,1,159
2,1950,rocky,1,101
111,1350,sand,1,197
195,600,rocky,1,288
75,300,paved,0,76
181,1050,sand,1,266
181,1200,paved,1,237
14,1350,dirt,0,30
59,1500,rocky,0,106
176,400,dirt,0,188
178,1100,sand,1,263
198,500,rocky,1,290
145,550,paved,0,147
175,750,dirt,0,188
71,1750,paved,0,79
96,900,dirt,0,110
80,450,dirt,0,92
184,500,rocky,1,276
196,400,paved,0,198
196,500,rocky,0,238
101,1700,rocky,0,149
155,200,rocky,0,196
53,200,dirt,0,64
49,1950,dirt,1,118
17,1800,sand,0,56
92,1650,sand,0,130
169,1800,rocky,1,268
143,1800,dirt,0,162
142,1850,paved,1,201
190,1350,sand,0,226
114,1750,rocky,1,212
172,1800,dirt,0,191
197,150,sand,1,277
42,1450,sand,1,129
40,1450,dirt,1,107
138,900,dirt,0,152
156,700,sand,0,189
171,250,dirt,1,232
132,650,sand,1,215
184,150,rocky,0,224
163,150,sand,1,243
160,650,rocky,0,203
195,1450,sand,1,282
63,300,dirt,0,74
190,1200,dirt,0,206
132,1550,rocky,1,229
141,1350,paved,1,197
100,750,paved,0,103
168,600,sand,0,201
35,1400,dirt,1,102
38,450,sand,1,120
178,250,paved,0,179
179,1200,rocky,1,275
54,100,rocky,0,94
124,600,dirt,0,137
